ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CH0012032048","RHO5","ROCHE HLDG AG GEN.","Other","EUR",2504218,2018-03-26,10:00,187.12,187.18,187.12,187.18,151,3
"CH0038389992","BBZA","BB BIOTECH NAM.   SF 0,20","Common stock","EUR",2504244,2018-03-26,10:00,56.8,56.8,56.8,56.8,650,6
"CH0108503795","M6YA","MEYER BUR.TECH.NAM.SF-,05","Common stock","EUR",2504246,2018-03-26,10:00,1.172,1.172,1.172,1.172,1630,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF","ETF","EUR",2504265,2018-03-26,10:00,103.46,103.48,103.46,103.48,79,2
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2018-03-26,10:00,55.4,55.4,55.4,55.4,108,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2018-03-26,10:00,8.214,8.3,8.214,8.298,19997,46
"DE000A0H52F5","MVV1","MVV ENERGIE AG NA O.N.","Common stock","EUR",2504336,2018-03-26,10:00,24.6,24.6,24.6,24.6,27,1
"DE000A0JRU67","XMY","MYBET HOLDING SE NA O.N.","Common stock","EUR",2504346,2018-03-26,10:00,0.23,0.23,0.23,0.23,641,1
"DE000A0V9Y81","4RUH","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504425,2018-03-26,10:00,2.3266,2.3266,2.3266,2.3266,103,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2018-03-26,10:00,17.115,17.125,17.11,17.115,3458,4
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2018-03-26,10:00,24.94,24.94,24.92,24.94,802,6
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2018-03-26,10:00,24.44,24.45,24.44,24.45,3861,16
"DE000A1A6V48","KSC","KPS AG NA O.N.","Common stock","EUR",2504441,2018-03-26,10:00,9.23,9.23,9.16,9.23,1000,6
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2018-03-26,10:00,47.86,47.9,47.86,47.9,211,3
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2018-03-26,10:00,196.05,196.05,196,196.05,565,7
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA","Common stock","EUR",2504492,2018-03-26,10:00,3.721,3.723,3.721,3.722,2215,4
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2018-03-26,10:00,39.42,39.42,39.41,39.41,247,4
"DE000A1MMCC8","ILM1","MEDIOS AG  O.N.","Common stock","EUR",2504502,2018-03-26,10:00,20.8,20.8,20.8,20.8,1073,1
"DE000A1X3W00","MDG1","MEDIGENE AG NA O.N.","Common stock","EUR",2504531,2018-03-26,10:00,13.7,13.72,13.65,13.66,11451,15
"DE000A111338","AM3D","SLM SOLUTIONS GRP AG","Common stock","EUR",2504550,2018-03-26,10:00,34.2,34.2,34.2,34.2,42,1
"DE000A12DM80","G24","SCOUT24 AG NA O.N.","Common stock","EUR",2504556,2018-03-26,10:00,35.84,35.84,35.84,35.84,119,4
"DE000A12UP37","NC5A","NORCOM INF.TECHN.AG","Common stock","EUR",2504566,2018-03-26,10:00,62.2,62.2,62.2,62.2,43,2
"DE000A13SX22","HLE","HELLA GMBH+CO. KGAA O.N.","Common stock","EUR",2504580,2018-03-26,10:00,52.1,52.1,52.1,52.1,61,1
"DE000A161N30","GLJ","GRENKE AG NA O.N.","Common stock","EUR",2504606,2018-03-26,10:00,87.35,87.35,87.2,87.2,115,3
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2018-03-26,10:00,38.52,38.53,38.52,38.53,755,4
"DE000A2DAM03","AAG","AUMANN AG","Common stock","EUR",2504639,2018-03-26,10:00,54.2,54.2,54.2,54.2,348,2
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2018-03-26,10:00,82.06,82.08,82.04,82.04,1394,11
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2018-03-26,10:00,90.91,90.94,90.91,90.91,2028,11
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2018-03-26,10:00,11.066,11.07,11.064,11.07,2105,5
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2018-03-26,10:00,8.913,8.917,8.913,8.917,13438,12
"DE000KGX8881","KGX","KION GROUP AG","Common stock","EUR",2504811,2018-03-26,10:00,73.16,73.16,73.16,73.16,60,1
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2018-03-26,10:00,64.94,64.96,64.94,64.94,338,3
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO","Common stock","EUR",2504849,2018-03-26,10:00,12.385,12.385,12.385,12.385,1249,3
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.","Common stock","EUR",2504852,2018-03-26,10:00,64.44,64.44,64.44,64.44,43,2
"DE000TUAG000","TUI1","TUI AG NA O.N.","Common stock","EUR",2504855,2018-03-26,10:00,17.555,17.555,17.545,17.545,1044,3
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2018-03-26,10:00,152.65,152.85,152.65,152.75,619,10
"DE000XNG8888","O1BC","XING SE  NA O.N.","Common stock","EUR",2504862,2018-03-26,10:00,242.5,243,242.5,243,32,2
"DE000ZAL1111","ZAL","ZALANDO SE","Common stock","EUR",2504863,2018-03-26,10:00,45.08,45.08,45.08,45.08,634,6
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2018-03-26,10:00,52.02,52.08,52.02,52.08,690,4
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2018-03-26,10:00,11.242,11.246,11.242,11.246,6703,5
"DE0005168108","B5A","BAUER AG","Common stock","EUR",2504896,2018-03-26,10:00,19.78,19.78,19.74,19.74,2577,7
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2018-03-26,10:00,85.37,85.41,85.37,85.4,2031,20
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2018-03-26,10:00,87.4,87.4,87.4,87.4,138,2
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2018-03-26,10:00,50.75,50.8,50.75,50.8,334,2
"DE0005408884","LEO","LEONI AG NA O.N.","Common stock","EUR",2504929,2018-03-26,10:00,52.44,52.54,52.44,52.54,389,5
"DE0005419105","COK","CANCOM SE O.N.","Common stock","EUR",2504930,2018-03-26,10:00,79.45,79.45,79.4,79.4,938,10
"DE0005437305","COP","COMPUGROUP MED.SE O.N.","Common stock","EUR",2504932,2018-03-26,10:00,43.06,43.06,43.02,43.04,865,12
"DE0005439004","CON","CONTINENTAL AG O.N.","Common stock","EUR",2504933,2018-03-26,10:00,217.7,217.8,217.7,217.8,288,4
