ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000APOST4","O3P","OESTERREICH. POST AG","Common stock","EUR",2504158,2018-03-26,12:00,40.48,40.5,40.48,40.5,201,2
"CH0012032048","RHO5","ROCHE HLDG AG GEN.","Other","EUR",2504218,2018-03-26,12:00,187.34,187.34,187.34,187.34,46,1
"DE000ETFL011","EL4A","DK DAX","ETF","EUR",2504258,2018-03-26,12:00,109.5,109.5,109.5,109.5,56,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF","ETF","EUR",2504265,2018-03-26,12:00,103.46,103.46,103.46,103.46,2533,2
"LU0411075020","DBPD","XTR.SHORTDAX X2 DA.SW. 1C","ETF","EUR",2504272,2018-03-26,12:00,4.116,4.116,4.116,4.116,1900,1
"DE000A0DPRE6","LNSX","SIXT LEASING O.N.","Common stock","EUR",2504289,2018-03-26,12:00,16.26,16.26,16.26,16.26,74,1
"DE000A0D8Q23","EXXX","ISHARES ATX UCITS ETF","ETF","EUR",2504293,2018-03-26,12:00,35.39,35.39,35.39,35.39,30,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2018-03-26,12:00,135.9,135.9,135.9,135.9,561,2
"DE000A0F5UK5","EXV6","IS.S.E.600 BA.RE.U.ETF A.","ETF","EUR",2504307,2018-03-26,12:00,45.87,45.87,45.87,45.87,172,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH","Common stock","EUR",2504314,2018-03-26,12:00,36.65,36.66,36.65,36.66,687,3
"DE000A0H08P6","EXH8","ISH.S.EU.600 RET.U.ETF A.","ETF","EUR",2504332,2018-03-26,12:00,27.945,27.945,27.945,27.945,892,1
"DE000A0H08R2","EXV2","ISH.S.EU.600 TEL.U.ETF A.","ETF","EUR",2504334,2018-03-26,12:00,22.38,22.38,22.38,22.38,10,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2018-03-26,12:00,12.33,12.33,12.33,12.33,192,1
"DE000A0Q4R02","EXH9","ISH.S.EU.600 UTI.U.ETF A.","ETF","EUR",2504392,2018-03-26,12:00,27.025,27.03,27.02,27.03,608,3
"DE000A0V9YT0","4RT2","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504420,2018-03-26,12:00,1.1816,1.1816,1.1816,1.1816,1703,1
"DE000A0V9Y81","4RUH","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504425,2018-03-26,12:00,2.3258,2.3258,2.3258,2.3258,103,1
"DE000A0V9ZE9","4RUP","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504426,2018-03-26,12:00,8.653,8.653,8.653,8.653,0,1
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2018-03-26,12:00,24.24,24.34,24.16,24.34,3506,9
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2018-03-26,12:00,24.43,24.43,24.43,24.43,197,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2018-03-26,12:00,48.17,48.18,48.14,48.14,422,8
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2018-03-26,12:00,195.4,195.4,195.2,195.2,756,7
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA","Common stock","EUR",2504492,2018-03-26,12:00,3.719,3.719,3.719,3.719,0,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2018-03-26,12:00,39.66,39.66,39.65,39.66,1506,6
"DE000A1X3W00","MDG1","MEDIGENE AG NA O.N.","Common stock","EUR",2504531,2018-03-26,12:00,13.42,13.42,13.4,13.42,628,3
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2018-03-26,12:00,38.49,38.49,38.49,38.49,244,3
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2018-03-26,12:00,81.83,81.83,81.8,81.8,671,7
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2018-03-26,12:00,90.84,90.84,90.82,90.82,1084,6
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2018-03-26,12:00,11.108,11.108,11.108,11.108,1525,2
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2018-03-26,12:00,8.942,8.944,8.94,8.94,12855,13
"DE000ETFL250","EL4Y","DK STOXX EUROPE 50","ETF","EUR",2504701,2018-03-26,12:00,29.685,29.685,29.685,29.685,100,1
"DE000FTG1111","FTK","FINTECH GROUP AG  NA O.N.","Common stock","EUR",2504808,2018-03-26,12:00,27.45,27.45,27.45,27.45,316,1
"DE000HLAG475","HLAG","HAPAG-LLOYD AG NA O.N.","Common stock","EUR",2504809,2018-03-26,12:00,30.56,30.56,30.56,30.56,105,2
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.","Common stock","EUR",2504813,2018-03-26,12:00,61.62,61.68,61.6,61.6,6700,48
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2018-03-26,12:00,65.36,65.36,65.34,65.34,522,6
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.","Common stock","EUR",2504848,2018-03-26,12:00,27.64,27.64,27.64,27.64,109,1
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.","Common stock","EUR",2504852,2018-03-26,12:00,64.4,64.4,64.4,64.4,344,4
"DE000TLX1005","TLX","TALANX AG NA O.N.","Common stock","EUR",2504854,2018-03-26,12:00,34.54,34.54,34.54,34.54,130,1
"DE000TUAG000","TUI1","TUI AG NA O.N.","Common stock","EUR",2504855,2018-03-26,12:00,17.525,17.535,17.525,17.535,4084,6
"DE000WACK012","WAC","WACKER NEUSON SE NA O.N.","Common stock","EUR",2504858,2018-03-26,12:00,28.58,28.58,28.58,28.58,217,7
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2018-03-26,12:00,152.75,152.95,152.75,152.8,145,8
"DE0002635307","EXSA","ISH.STOX.EUROPE 600 U.ETF","ETF","EUR",2504871,2018-03-26,12:00,36.26,36.26,36.255,36.255,3299,2
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2018-03-26,12:00,52.06,52.06,52.04,52.04,219,2
"DE0005168108","B5A","BAUER AG","Common stock","EUR",2504896,2018-03-26,12:00,19.54,19.58,19.54,19.58,399,6
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2018-03-26,12:00,85.94,85.94,85.92,85.92,1575,15
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2018-03-26,12:00,87.44,87.44,87.44,87.44,69,2
"DE0005232805","BDT","BERTRANDT AG O.N.","Common stock","EUR",2504918,2018-03-26,12:00,94.15,94.15,94.15,94.15,1,1
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2018-03-26,12:00,50.75,50.75,50.75,50.75,277,1
"DE0005403901","CWC","CEWE STIFT.KGAA  O.N.","Common stock","EUR",2504924,2018-03-26,12:00,78.6,78.6,78.5,78.5,76,2
