ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2018-03-26,13:00,21.32,21.32,21.3,21.32,1486,7
"CH0012005267","NOT","NOVARTIS NAM.     SF 0,50","Common stock","EUR",2504217,2018-03-26,13:00,64.8,64.8,64.8,64.8,28,1
"CH0303692047","ED4","EDAG ENGINEERING G.SF-,04","Common stock","EUR",2504254,2018-03-26,13:00,15.92,15.92,15.92,15.92,26,1
"DE000ETFL235","EL4X","DK DAXPLUS MAX.DIVIDEND","ETF","EUR",2504260,2018-03-26,13:00,77.44,77.44,77.44,77.44,100,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF","ETF","EUR",2504265,2018-03-26,13:00,103.24,103.26,103.24,103.24,3031,5
"LU0252634307","LYY8","MUL-LYX.DLY.LEVDAX U.E. A","ETF","EUR",2504268,2018-03-26,13:00,98.46,98.46,98.46,98.46,150,1
"LU0292106241","DXSN","XTR.SHORTDAX DAILY SW. 1C","ETF","EUR",2504270,2018-03-26,13:00,22.23,22.23,22.23,22.23,854,1
"LU0378438732","C001","COMSTAGE-DAX UCITS ETF I","ETF","EUR",2504271,2018-03-26,13:00,113.4,113.46,113.38,113.46,60,3
"LU0838782315","XDDX","XTR.DAX INCOME 1D","ETF","EUR",2504277,2018-03-26,13:00,105.12,105.12,105.12,105.12,96,1
"DE000A0BVU28","OSP2","USU SOFTWARE AG","Common stock","EUR",2504280,2018-03-26,13:00,23.4,23.4,23.4,23.4,363,2
"DE000A0B65S3","PA8","PAION O.N","Common stock","EUR",2504283,2018-03-26,13:00,2.34,2.34,2.34,2.34,760,2
"DE000A0DNAY5","ACX","BET-AT-HOME.COM AG O.N.","Common stock","EUR",2504288,2018-03-26,13:00,71.55,71.55,71.55,71.55,404,10
"DE000A0D8Q23","EXXX","ISHARES ATX UCITS ETF","ETF","EUR",2504293,2018-03-26,13:00,35.4,35.4,35.4,35.4,255,2
"DE000A0ETBQ4","MBB","MBB SE O.N.","Common stock","EUR",2504301,2018-03-26,13:00,86.6,86.6,86.6,86.6,5,1
"DE000A0F5UJ7","EXV1","IS.S.EU.600 BANK.U.ETF A.","ETF","EUR",2504306,2018-03-26,13:00,17.224,17.224,17.224,17.224,1724,2
"DE000A0F5UK5","EXV6","IS.S.E.600 BA.RE.U.ETF A.","ETF","EUR",2504307,2018-03-26,13:00,45.71,45.71,45.71,45.71,406,1
"DE000A0HL8N9","2GB","2G ENERGY AG","Common stock","EUR",2504311,2018-03-26,13:00,18.6,18.6,18.6,18.6,100,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH","Common stock","EUR",2504314,2018-03-26,13:00,36.53,36.53,36.53,36.53,160,1
"DE000A0H08M3","EXH1","IS.S.E.600 OIL+G.U.ETF A.","ETF","EUR",2504330,2018-03-26,13:00,30.445,30.445,30.445,30.445,429,1
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.","Common stock","EUR",2504340,2018-03-26,13:00,56.7,56.7,56.5,56.5,1104,7
"DE000A0LAUP1","CE2","CROPENERGIES AG","Common stock","EUR",2504376,2018-03-26,13:00,5.88,5.88,5.88,5.88,300,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2018-03-26,13:00,12.35,12.35,12.35,12.35,199,1
"DE000A0Q4RZ9","EXVM","I.EB.R.MONEY MARKET U.ETF","ETF","EUR",2504391,2018-03-26,13:00,79.082,79.082,79.082,79.082,5450,1
"DE000A0SMSH2","MUX","MUTARES AG","Common stock","EUR",2504399,2018-03-26,13:00,18.45,18.45,18.45,18.45,1278,2
"DE000A0S8488","HHFA","HAMBURG.HAFEN LOG.A-SP NA","Common stock","EUR",2504409,2018-03-26,13:00,19.01,19.02,19,19.02,378,6
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2018-03-26,13:00,17.055,17.055,17.05,17.055,877,6
"DE000A0Z1JH9","PSAN","PSI SOFTWARE AG NA O.N.","Common stock","EUR",2504435,2018-03-26,13:00,17.6,17.6,17.6,17.6,20,1
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2018-03-26,13:00,22.5,22.62,22.46,22.56,5606,11
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2018-03-26,13:00,24.41,24.41,24.39,24.39,1703,6
"DE000A1C0BD3","H4ZC","HSBC MSCI JP UCITS ETF DZ","ETF","EUR",2504445,2018-03-26,13:00,27.374,27.374,27.374,27.374,3500,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2018-03-26,13:00,48,48,48,48,111,2
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2018-03-26,13:00,195.4,195.45,195.3,195.35,1131,8
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA","Common stock","EUR",2504492,2018-03-26,13:00,3.714,3.714,3.714,3.714,59,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2018-03-26,13:00,39.57,39.57,39.55,39.55,2090,4
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2018-03-26,13:00,70.8,70.8,70.8,70.8,135,4
