ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2018-03-26,15:00,21.08,21.1,21.08,21.1,1318,4
"AT0000743059","OMV","OMV AG","Common stock","EUR",2504175,2018-03-26,15:00,46.88,46.88,46.88,46.88,9,1
"AT0000969985","AUS","AT+S AUSTR.T.+SYSTEMT.","Common stock","EUR",2504191,2018-03-26,15:00,22.05,22.05,22,22,237,3
"CA32076V1031","FMV","FIRST MAJESTIC SILVER","Common stock","EUR",2504197,2018-03-26,15:00,5.02,5.02,5.02,5.02,175,1
"CH0012032048","RHO5","ROCHE HLDG AG GEN.","Other","EUR",2504218,2018-03-26,15:00,183.22,183.22,183.22,183.22,5,1
"CH0012032113","RHO","ROCHE HLDG AG INH. SF 1","Common stock","EUR",2504219,2018-03-26,15:00,185,185,184.9,185,121,5
"CH0038863350","NESR","NESTLE NAM.        SF-,10","Common stock","EUR",2504245,2018-03-26,15:00,62.36,62.36,62.36,62.36,7,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF","ETF","EUR",2504265,2018-03-26,15:00,101.92,101.98,101.92,101.98,11352,10
"LU0378438732","C001","COMSTAGE-DAX UCITS ETF I","ETF","EUR",2504271,2018-03-26,15:00,111.9,111.9,111.9,111.9,62,1
"LU0838782315","XDDX","XTR.DAX INCOME 1D","ETF","EUR",2504277,2018-03-26,15:00,103.78,103.78,103.78,103.78,48,1
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2018-03-26,15:00,55.45,55.45,55.45,55.45,50,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2018-03-26,15:00,8.082,8.088,8.08,8.088,1562,3
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2018-03-26,15:00,132.4,132.7,132.4,132.7,386,6
"DE000A0F5UF5","EXXT","ISHARES NASDAQ-100 U.ETF","ETF","EUR",2504303,2018-03-26,15:00,51.67,51.68,51.67,51.68,2735,2
"DE000A0F5UG3","EXXV","IS.DJ EUROZ.SUST.SC.U.ETF","ETF","EUR",2504304,2018-03-26,15:00,12.206,12.206,12.206,12.206,13253,3
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH","Common stock","EUR",2504314,2018-03-26,15:00,36.3,36.34,36.3,36.34,786,6
"DE000A0H08M3","EXH1","IS.S.E.600 OIL+G.U.ETF A.","ETF","EUR",2504330,2018-03-26,15:00,30.205,30.205,30.205,30.205,82,1
"DE000A0JC8S7","D6H","DATAGROUP SE  INH. O.N.","Common stock","EUR",2504338,2018-03-26,15:00,40,40,40,40,39,1
"DE000A0JL9W6","VBK","VERBIO VER.BIOENERGIE  ON","Common stock","EUR",2504343,2018-03-26,15:00,4.54,4.542,4.54,4.542,1372,3
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2018-03-26,15:00,12.3,12.3,12.3,12.3,572,2
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.","Common stock","EUR",2504401,2018-03-26,15:00,8.635,8.645,8.635,8.645,1396,3
"DE000A0S8488","HHFA","HAMBURG.HAFEN LOG.A-SP NA","Common stock","EUR",2504409,2018-03-26,15:00,18.88,18.89,18.88,18.89,402,4
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2018-03-26,15:00,16.92,16.93,16.92,16.925,879,4
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2018-03-26,15:00,21,21.1,20.96,21.1,22047,27
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2018-03-26,15:00,24.18,24.19,24.17,24.19,960,3
"DE000A1A6V48","KSC","KPS AG NA O.N.","Common stock","EUR",2504441,2018-03-26,15:00,9.39,9.39,9.39,9.39,330,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2018-03-26,15:00,47.64,47.71,47.64,47.7,5629,20
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2018-03-26,15:00,192.75,192.9,192.65,192.9,1504,22
"DE000A1JBPV9","SW1","SHW AG","Common stock","EUR",2504476,2018-03-26,15:00,35.4,35.4,35.4,35.4,8,1
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG NA","Common stock","EUR",2504492,2018-03-26,15:00,3.677,3.681,3.677,3.68,6065,8
"DE000A1K0235","SMHN","SUESS MICROTEC SE NA O.N.","Common stock","EUR",2504495,2018-03-26,15:00,14.18,14.18,14.14,14.14,547,3
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2018-03-26,15:00,38.89,38.94,38.89,38.94,3364,17
