ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CH0012032048","RHO5","ROCHE HLDG AG GEN.","Other","EUR",2504218,2018-03-26,11:00,187.1,187.1,187.1,187.1,44,6
"DE000A0X8994","DEL2","ETFS DAX DLY 2X LG GO DZ","ETF","EUR",2504256,2018-03-26,11:00,277.35,277.35,277.35,277.35,7,1
"LU0274211480","DBXD","XTR.DAX 1C","ETF","EUR",2504269,2018-03-26,11:00,116.3,116.3,116.3,116.3,70,1
"DE000A0CAYB2","WIN","DIEBOLD NIXDORF  INH.O.N.","Common stock","EUR",2504286,2018-03-26,11:00,66.4,66.4,66.4,66.4,27,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2018-03-26,11:00,135.1,135.1,134.9,134.9,151,3
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN SE INH","Common stock","EUR",2504314,2018-03-26,11:00,36.78,36.78,36.78,36.78,19,1
"DE000A0JQ5U3","M5Z","MANZ AG","Common stock","EUR",2504345,2018-03-26,11:00,30.1,30.1,30.1,30.1,200,3
"DE000A0V9YU8","4RT3","ETFS COM.SEC.DZ08/UN.IDX","ETC","EUR",2504421,2018-03-26,11:00,5.856,5.856,5.856,5.856,5000,1
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2018-03-26,11:00,47.93,47.93,47.91,47.91,206,4
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.","Common stock","EUR",2504474,2018-03-26,11:00,59.7,59.7,59.7,59.7,80,1
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2018-03-26,11:00,70.86,70.88,70.86,70.88,252,3
"DE000A1TNV91","ADE","BITCOIN GROUP SE  O.N.","Common stock","EUR",2504520,2018-03-26,11:00,42.08,42.08,42.08,42.08,153,1
"DE000A1X3XX4","DIC","DIC ASSET AG NA O.N.","Common stock","EUR",2504532,2018-03-26,11:00,10.4,10.4,10.4,10.4,1464,5
"DE000A12UKK6","RKET","ROCKET INTERNET SE","Common stock","EUR",2504560,2018-03-26,11:00,25.16,25.18,25.16,25.18,4708,3
"DE000A13SX22","HLE","HELLA GMBH+CO. KGAA O.N.","Common stock","EUR",2504580,2018-03-26,11:00,52.2,52.2,52.2,52.2,227,3
"DE000A161N30","GLJ","GRENKE AG NA O.N.","Common stock","EUR",2504606,2018-03-26,11:00,87.65,87.65,87.65,87.65,70,2
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2018-03-26,11:00,38.53,38.53,38.53,38.53,73,1
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2018-03-26,11:00,28.38,28.4,28.38,28.4,1512,10
"DE000HLAG475","HLAG","HAPAG-LLOYD AG NA O.N.","Common stock","EUR",2504809,2018-03-26,11:00,30.5,30.5,30.48,30.48,714,10
"DE000KGX8881","KGX","KION GROUP AG","Common stock","EUR",2504811,2018-03-26,11:00,73.24,73.24,73.22,73.22,280,3
"DE000KSAG888","SDF","K+S AG NA O.N.","Common stock","EUR",2504812,2018-03-26,11:00,23.43,23.43,23.43,23.43,365,1
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.","Common stock","EUR",2504813,2018-03-26,11:00,61.72,61.74,61.7,61.7,386,4
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2018-03-26,11:00,64.94,64.94,64.94,64.94,370,3
"DE000PAT1AG3","PAT","PATRIZIA IMMOBILIEN NA ON","Common stock","EUR",2504817,2018-03-26,11:00,18.28,18.28,18.28,18.28,421,1
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.","Common stock","EUR",2504852,2018-03-26,11:00,64.5,64.5,64.48,64.48,445,7
"DE000WCH8881","WCH","WACKER CHEMIE        O.N.","Common stock","EUR",2504860,2018-03-26,11:00,136.45,136.75,136.45,136.65,571,10
"DE000ZAL1111","ZAL","ZALANDO SE","Common stock","EUR",2504863,2018-03-26,11:00,45.19,45.19,45.18,45.18,954,3
"DE0002635307","EXSA","ISH.STOX.EUROPE 600 U.ETF","ETF","EUR",2504871,2018-03-26,11:00,36.25,36.25,36.25,36.25,1996,1
"DE0005168108","B5A","BAUER AG","Common stock","EUR",2504896,2018-03-26,11:00,19.74,19.74,19.74,19.74,43,1
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2018-03-26,11:00,85.73,85.73,85.73,85.73,21,1
"DE0005408884","LEO","LEONI AG NA O.N.","Common stock","EUR",2504929,2018-03-26,11:00,52.48,52.48,52.48,52.48,34,2
"DE0005470306","EVD","CTS EVENTIM KGAA","Common stock","EUR",2504934,2018-03-26,11:00,38.52,38.52,38.52,38.52,333,6
"DE0005470405","LXS","LANXESS AG","Common stock","EUR",2504935,2018-03-26,11:00,62.38,62.38,62.38,62.38,75,1
"DE0005565204","DUE","DUERR AG O.N.","Common stock","EUR",2504956,2018-03-26,11:00,89.8,89.82,89.78,89.82,100,4
"DE0005677108","ELG","ELMOS SEMICONDUCTOR AG","Common stock","EUR",2504964,2018-03-26,11:00,26.25,26.25,26.15,26.2,256,7
"DE0005773303","FRA","FRAPORT AG FFM.AIRPORT","Common stock","EUR",2504970,2018-03-26,11:00,81.4,81.4,81.4,81.4,107,1
"DE0005790406","FPE","FUCHS PETROLUB SE O.N.","Common stock","EUR",2504975,2018-03-26,11:00,41,41,40.9,40.95,765,7
"DE0005790430","FPE3","FUCHS PETROL.SE VZO O.N.","Common stock","EUR",2504976,2018-03-26,11:00,44.48,44.48,44.4,44.46,1207,17
"DE0005800601","GFT","GFT TECHNOLOGIES SE","Common stock","EUR",2504977,2018-03-26,11:00,13.14,13.14,13.13,13.13,647,2
"DE0005895403","GMM","GRAMMER AG O.N.","Common stock","EUR",2504985,2018-03-26,11:00,52.15,52.15,52.1,52.1,90,3
"DE0005909006","GBF","BILFINGER SE O.N.","Common stock","EUR",2504986,2018-03-26,11:00,37.74,37.74,37.74,37.74,36,1
"DE0006070006","HOT","HOCHTIEF AG","Common stock","EUR",2505009,2018-03-26,11:00,149.2,149.2,149.2,149.2,137,1
"DE0006204407","KU2","KUKA AG","Common stock","EUR",2505017,2018-03-26,11:00,94,94,94,94,16,1
"DE0006219934","JUN3","JUNGHEINRICH AG O.N.VZO","Common stock","EUR",2505020,2018-03-26,11:00,35.1,35.1,35.1,35.1,16,1
"DE0006305006","DEZ","DEUTZ AG O.N.","Common stock","EUR",2505037,2018-03-26,11:00,7.285,7.285,7.285,7.285,141,1
"DE0006602006","G1A","GEA GROUP AG","Common stock","EUR",2505051,2018-03-26,11:00,34.64,34.64,34.64,34.64,198,3
"DE0006766504","NDA","AURUBIS AG","Common stock","EUR",2505060,2018-03-26,11:00,67.38,67.38,67.38,67.38,13,1
"DE0006969603","PUM","PUMA SE","Common stock","EUR",2505067,2018-03-26,11:00,403,403,403,403,102,3
"DE0006972508","PBY","PUBLITY AG NA O.N.","Common stock","EUR",2505068,2018-03-26,11:00,13.1,13.2,13.1,13.2,167,3
"DE0007231326","SIX2","SIXT SE ST O.N.","Common stock","EUR",2505085,2018-03-26,11:00,91.05,91.05,91.05,91.05,91,3
"DE0007257503","CEC","CECONOMY AG  ST O.N.","Common stock","EUR",2505090,2018-03-26,11:00,9.334,9.344,9.332,9.332,3492,12
"DE0007667107","VOS","VOSSLOH AG O.N.","Common stock","EUR",2505115,2018-03-26,11:00,40.35,40.35,40.35,40.35,106,1
"DE0008148206","MBK","MERKUR BANK KGAA .O.N.","Common stock","EUR",2505129,2018-03-26,11:00,8.9,8.9,8.9,8.9,80,1
"DE0008303504","TEG","TAG IMMOBILIEN AG","Common stock","EUR",2505131,2018-03-26,11:00,16.28,16.28,16.28,16.28,1148,3
"FI0009000681","NOA3","NOKIA OYJ EO-,06","Common stock","EUR",2505156,2018-03-26,11:00,4.491,4.491,4.491,4.491,3532,1
